time,type1_num,type10_num,type3_num,type4_num,type6_num
2023-04-13 07:00:00,65.0,2.0,,1.0,2.0
2023-04-13 07:01:00,70.0,2.0,,1.0,2.0
2023-04-13 07:02:00,74.0,2.0,,1.0,4.0
2023-04-13 07:03:00,77.0,2.0,1.0,3.0,5.0
2023-04-13 07:04:00,85.0,2.0,1.0,2.0,5.0
2023-04-13 07:05:00,77.0,2.0,1.0,3.0,5.0
2023-04-13 07:06:00,75.0,3.0,1.0,3.0,3.0
2023-04-13 07:07:00,77.0,3.0,1.0,3.0,4.0
2023-04-13 07:08:00,77.0,3.0,1.0,3.0,2.0
2023-04-13 07:09:00,70.0,3.0,1.0,5.0,
2023-04-13 07:10:00,71.0,4.0,1.0,3.0,
2023-04-13 07:11:00,82.0,4.0,1.0,2.0,1.0
2023-04-13 07:12:00,81.0,3.0,2.0,3.0,2.0
2023-04-13 07:13:00,73.0,3.0,1.0,3.0,2.0
2023-04-13 07:14:00,71.0,,1.0,3.0,2.0
2023-04-13 07:15:00,72.0,,1.0,5.0,4.0
2023-04-13 07:16:00,78.0,,1.0,5.0,3.0
2023-04-13 07:17:00,80.0,,3.0,4.0,2.0
2023-04-13 07:18:00,79.0,,1.0,5.0,1.0
2023-04-13 07:19:00,77.0,,1.0,5.0,4.0
2023-04-13 07:20:00,83.0,,1.0,3.0,2.0
2023-04-13 07:21:00,84.0,,1.0,1.0,5.0
2023-04-13 07:22:00,85.0,,1.0,1.0,5.0
2023-04-13 07:23:00,77.0,2.0,1.0,1.0,5.0
2023-04-13 07:24:00,76.0,2.0,1.0,1.0,7.0
2023-04-13 07:25:00,76.0,2.0,1.0,1.0,6.0
2023-04-13 07:26:00,72.0,1.0,1.0,1.0,2.0
2023-04-13 07:27:00,74.0,1.0,,1.0,2.0
2023-04-13 07:28:00,74.0,1.0,2.0,1.0,2.0
2023-04-13 07:29:00,83.0,1.0,1.0,1.0,2.0
2023-04-13 07:30:00,76.0,1.0,1.0,3.0,
2023-04-13 07:31:00,75.0,,1.0,3.0,
2023-04-13 07:32:00,71.0,,2.0,2.0,
2023-04-13 07:33:00,76.0,1.0,2.0,4.0,2.0
2023-04-13 07:34:00,75.0,1.0,1.0,5.0,2.0
2023-04-13 07:35:00,76.0,1.0,1.0,5.0,2.0
2023-04-13 07:36:00,74.0,2.0,1.0,7.0,1.0
2023-04-13 07:37:00,79.0,2.0,3.0,6.0,3.0
2023-04-13 07:38:00,68.0,,3.0,2.0,3.0
2023-04-13 07:39:00,76.0,,5.0,3.0,3.0
2023-04-13 07:40:00,68.0,,4.0,4.0,4.0
2023-04-13 07:41:00,69.0,,5.0,3.0,4.0
2023-04-13 07:42:00,71.0,,5.0,2.0,2.0
2023-04-13 07:43:00,73.0,,5.0,3.0,2.0
2023-04-13 07:44:00,66.0,1.0,3.0,3.0,
2023-04-13 07:45:00,65.0,1.0,2.0,2.0,
2023-04-13 07:46:00,65.0,2.0,2.0,1.0,
2023-04-13 07:47:00,65.0,4.0,2.0,,
2023-04-13 07:48:00,58.0,5.0,2.0,3.0,2.0
2023-04-13 07:49:00,56.0,3.0,2.0,4.0,2.0
2023-04-13 07:50:00,59.0,5.0,1.0,4.0,1.0
2023-04-13 07:51:00,60.0,4.0,1.0,2.0,2.0
2023-04-13 07:52:00,63.0,2.0,1.0,3.0,3.0
2023-04-13 07:53:00,58.0,2.0,1.0,3.0,4.0
2023-04-13 07:54:00,70.0,2.0,1.0,3.0,2.0
2023-04-13 07:55:00,66.0,1.0,3.0,3.0,2.0
2023-04-13 07:56:00,73.0,2.0,2.0,3.0,2.0
2023-04-13 07:57:00,75.0,2.0,4.0,3.0,
2023-04-13 07:58:00,86.0,1.0,2.0,2.0,
2023-04-13 07:59:00,81.0,,1.0,1.0,
2023-04-13 08:00:00,84.0,,2.0,2.0,
2023-04-13 08:01:00,83.0,,1.0,1.0,
2023-04-13 08:02:00,79.0,,3.0,,
2023-04-13 08:03:00,79.0,,1.0,,
2023-04-13 08:04:00,79.0,,1.0,,
2023-04-13 08:05:00,79.0,,1.0,,
2023-04-13 08:06:00,78.0,,1.0,,
2023-04-13 08:07:00,68.0,,2.0,,
2023-04-13 08:08:00,69.0,,2.0,,1.0
2023-04-13 08:09:00,76.0,,2.0,,2.0
2023-04-13 08:10:00,76.0,,2.0,,2.0
2023-04-13 08:11:00,65.0,1.0,2.0,,2.0
2023-04-13 08:12:00,72.0,2.0,,,2.0
2023-04-13 08:13:00,71.0,1.0,3.0,,1.0
2023-04-13 08:14:00,74.0,2.0,1.0,2.0,
2023-04-13 08:15:00,86.0,2.0,1.0,2.0,
2023-04-13 08:16:00,94.0,2.0,1.0,2.0,
2023-04-13 08:17:00,97.0,3.0,2.0,4.0,
2023-04-13 08:18:00,92.0,2.0,1.0,3.0,2.0
2023-04-13 08:19:00,92.0,3.0,1.0,1.0,2.0
2023-04-13 08:20:00,97.0,3.0,1.0,1.0,2.0
2023-04-13 08:21:00,102.0,2.0,3.0,1.0,1.0
2023-04-13 08:22:00,96.0,2.0,3.0,2.0,1.0
2023-04-13 08:23:00,103.0,3.0,2.0,3.0,2.0
2023-04-13 08:24:00,100.0,2.0,1.0,2.0,2.0
2023-04-13 08:25:00,96.0,3.0,1.0,3.0,1.0
2023-04-13 08:26:00,91.0,1.0,1.0,1.0,2.0
2023-04-13 08:27:00,88.0,1.0,1.0,2.0,2.0
2023-04-13 08:28:00,79.0,1.0,2.0,1.0,1.0
2023-04-13 08:29:00,85.0,1.0,1.0,2.0,2.0
2023-04-13 08:30:00,87.0,1.0,1.0,1.0,
2023-04-13 08:31:00,92.0,1.0,2.0,2.0,
2023-04-13 08:32:00,91.0,1.0,2.0,2.0,
2023-04-13 08:33:00,95.0,1.0,2.0,1.0,
2023-04-13 08:34:00,83.0,1.0,2.0,,
2023-04-13 08:35:00,90.0,1.0,,,2.0
2023-04-13 08:36:00,84.0,1.0,,,2.0
2023-04-13 08:37:00,98.0,3.0,,,2.0
2023-04-13 08:38:00,93.0,2.0,,,2.0
2023-04-13 08:39:00,98.0,2.0,,,2.0
2023-04-13 08:40:00,99.0,2.0,,,
2023-04-13 08:41:00,97.0,2.0,,,
2023-04-13 08:42:00,97.0,2.0,1.0,,
2023-04-13 08:43:00,94.0,2.0,1.0,,
2023-04-13 08:44:00,86.0,2.0,1.0,,
2023-04-13 08:45:00,88.0,2.0,1.0,2.0,
