time,type1_num,type10_num,type3_num,type4_num,type6_num
2023/4/13 7:23,3,,,,
2023/4/13 7:24,2,,,,
2023/4/13 7:26,3,,,,
2023/4/13 7:55,2,,,,
2023/4/13 8:04,1,,,,
2023/4/13 8:05,1,,,,
2023/4/13 8:15,2,,,,
2023/4/13 8:16,1,,,,
2023/4/13 8:39,2,,,,
2023/4/13 8:46,2,,,,
2023/4/13 9:24,2,,,,
2023/4/13 9:30,2,1,,,
2023/4/13 9:31,,2,,,
2023/4/13 9:33,1,,,,
2023/4/13 9:59,1,,,,
2023/4/13 10:04,1,,,,
2023/4/13 10:05,2,,,,
2023/4/13 10:15,1,,,,
2023/4/13 10:17,2,,,,
2023/4/13 10:38,1,,,,
2023/4/13 10:43,2,,,,
2023/4/13 10:46,2,,,,
2023/4/13 11:23,1,,,,
2023/4/13 11:29,2,,,,
2023/4/13 11:38,1,,,,
2023/4/13 11:59,2,,,,
2023/4/13 12:01,2,,,,
2023/4/13 12:02,2,,,,
2023/4/13 12:09,2,,,,
2023/4/13 12:19,2,,,,
2023/4/13 12:20,2,,,,
2023/4/13 12:21,3,,,,
2023/4/13 12:22,2,,,,
2023/4/13 12:23,3,,,,
2023/4/13 12:24,,1,,,
2023/4/13 12:25,,2,,,
2023/4/13 12:29,2,,,,
2023/4/13 12:33,2,,,,
2023/4/13 12:37,2,,,,
2023/4/13 12:43,1,,,,
2023/4/13 12:44,2,,,,
2023/4/13 12:57,2,,,,
2023/4/13 12:58,1,,,,
2023/4/13 13:04,2,,,,
2023/4/13 13:35,1,,,,
2023/4/13 13:41,1,,,,
2023/4/13 13:46,1,,,,
2023/4/13 13:55,1,,,,
2023/4/13 14:02,2,,,,
2023/4/13 14:06,2,,,,
2023/4/13 14:13,1,,,,
2023/4/13 14:21,2,,,,
2023/4/13 14:22,2,,,,
2023/4/13 14:43,2,,,,
2023/4/13 14:50,1,,,,
2023/4/13 14:51,1,,,,
2023/4/13 15:23,2,,,,
2023/4/13 15:24,2,,,,
2023/4/13 15:40,1,,,,
2023/4/13 15:41,2,,,,
2023/4/13 15:42,1,,,,
2023/4/13 15:49,2,,,,
